Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Column1,Opposition,Ground,Start DateAscending,Column2
22,37,27,4,0,81.48,3,caught,2,,v Sri Lanka,Hambantota,16-Aug-11,ODI # 3180
0,3,4,0,0,0,3,caught,2,,v Sri Lanka,Colombo (RPS),20-Aug-11,ODI # 3182
31,54,35,6,0,88.57,3,caught,1,,v Sri Lanka,Colombo (RPS),22-Aug-11,ODI # 3184
63,118,77,9,0,81.81,2,caught,1,,v South Africa,Centurion,19-Oct-11,ODI # 3203
10,17,7,2,0,142.85,2,caught,2,,v South Africa,Gqeberha,23-Oct-11,ODI # 3208
11,36,20,1,0,55,3,caught,2,,v South Africa,Durban,28-Oct-11,ODI # 3211
2,11,12,0,0,16.66,3,caught,1,,v India,Melbourne,05-Feb-12,ODI # 3231
1,6,4,0,0,25,3,lbw,1,,v Sri Lanka,Perth,10-Feb-12,ODI # 3235
6,14,14,1,0,42.85,2,caught,1,,v India,Adelaide,12-Feb-12,ODI # 3237
2,21,10,0,0,20,3,caught,1,,v Sri Lanka,Sydney,17-Feb-12,ODI # 3241
7,33,26,0,0,26.92,3,caught,1,,v India,Brisbane,19-Feb-12,ODI # 3244
Change batting view,,,,,,,,,,,,,
,,,,,,,,,,,,,
Career summary,,,,,,,,,,,,,
Innings by innings list,,,,,,,,,,,,,
Match by match list,,,,,,,,,,,,,
Cumulative averages,,,,,,,,,,,,,
Reverse cumulative,,,,,,,,,,,,,
Series averages,,,,,,,,,,,,,
Tour averages,,,,,,,,,,,,,
Ground averages,,,,,,,,,,,,,
Partnership summary,,,,,,,,,,,,,
List of partnerships,,,,,,,,,,,,,
Dismissal summary,,,,,,,,,,,,,
Bowler summary,,,,,,,,,,,,,
Fielder summary,,,,,,,,,,,,,
List of dismissals,,,,,,,,,,,,,
Change type of match,,,,,,,,,,,,,
,,,,,,,,,,,,,
Test matches,,,,,,,,,,,,,
One-Day Internationals,,,,,,,,,,,,,
Twenty20 Internationals,,,,,,,,,,,,,
"Combined Test, ODI and T20I records",,,,,,,,,,,,,
Change analysis type,,,,,,,,,,,,,
,,,,,,,,,,,,,
Bowling analysis,,,,,,,,,,,,,
Fielding analysis,,,,,,,,,,,,,
All-round analysis,,,,,,,,,,,,,
Return to main menus,,,,,,,,,,,,,
,,,,,,,,,,,,,
Return to the query menu,,,,,,,,,,,,,
Return to cleared query menu,,,,,,,,,,,,,
Statsguru main menu,,,,,,,,,,,,,
Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,,,
"Namibia v Scotland at Kirtipur, ICC Men's Cricket World Cup League 2 125th match, Feb 20, 2023 [ODI # 4519]",,,,,,,,,,,,,
"Nepal v Namibia at Kirtipur, ICC Men's Cricket World Cup League 2 124th match, Feb 18, 2023 [ODI # 4518]",,,,,,,,,,,,,
"Nepal v Scotland at Kirtipur, ICC Men's Cricket World Cup League 2 123rd match, Feb 17, 2023 [ODI # 4517]",,,,,,,,,,,,,
,,,,,,,,,,,,,
,Feedback,Print this page,,,,,,,,,,,
,,,,,,,,,,,,,
Readers recommend - Curated tweets by ESPNcricinfo,,,,,,,,,,,,,
ABOUT COOKIES,,,,,,,,,,,,,
"To help make this website better, to improve and personalize your experience and for advertising purposes, are you happy to accept cookies and other technologies.",,,,,,,,,,,,,
YES,,,,,,,,,,,,,
More Info Here Cookie Choices,,,,,,,,,,,,,
