Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Column1,Opposition,Ground,Start DateAscending,Column2
2,7,9,0,0,22.22,5,caught,1,,v Namibia,Potchefstroom,27-Feb-03,ODI # 1970
18,30,21,2,1,85.71,3,caught,2,,v England,Gqeberha,02-Mar-03,ODI # 1976
114,130,109,8,4,104.58,3,caught,1,,v Sri Lanka,Centurion,07-Mar-03,ODI # 1982
6,28,20,0,0,30,3,caught,1,,v New Zealand,Gqeberha,11-Mar-03,ODI # 1986
18,50,30,2,0,60,3,lbw,2,,v Kenya,Durban,15-Mar-03,ODI # 1990
2,6,8,0,0,25,3,caught,1,,v Sri Lanka,Gqeberha,18-Mar-03,ODI # 1991
140*,138,121,4,8,115.7,3,not out,1,,v India,Johannesburg,23-Mar-03,ODI # 1993
59,87,66,7,0,89.39,3,caught,1,,v West Indies,Kingston,17-May-03,ODI # 2011
57*,92,71,5,1,80.28,3,not out,2,,v West Indies,Kingston,18-May-03,ODI # 2013
32,-,35,3,0,91.42,3,run out,1,,v West Indies,Gros Islet,21-May-03,ODI # 2016
38,-,47,2,0,80.85,3,caught,1,,v West Indies,Port of Spain,24-May-03,ODI # 2018
10,-,20,1,0,50,3,caught,2,,v West Indies,Port of Spain,25-May-03,ODI # 2019
2,-,6,0,0,33.33,3,run out,1,,v West Indies,St George's,30-May-03,ODI # 2020
2*,-,7,0,0,28.57,3,not out,1,,v West Indies,St George's,01-Jun-03,ODI # 2021
29,74,65,1,0,44.61,3,bowled,2,,v Bangladesh,Cairns,02-Aug-03,ODI # 2038
DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Cairns,03-Aug-03,ODI # 2039
101,142,118,2,4,85.59,3,caught,1,,v Bangladesh,Darwin,06-Aug-03,ODI # 2040
2,6,5,0,0,40,3,caught,2,,v India,Gwalior,26-Oct-03,ODI # 2052
12,36,27,2,0,44.44,3,caught,2,,v New Zealand,Faridabad,29-Oct-03,ODI # 2053
31,55,37,3,0,83.78,3,lbw,1,,v India,Wankhede,01-Nov-03,ODI # 2054
16,35,24,3,0,66.66,3,bowled,2,,v New Zealand,Pune,03-Nov-03,ODI # 2055
52,113,84,6,0,61.9,3,caught,1,,v New Zealand,Guwahati,09-Nov-03,ODI # 2058
108*,150,103,1,7,104.85,3,not out,1,,v India,Bengaluru,12-Nov-03,ODI # 2061
36,78,45,7,0,80,3,caught,1,,v India,Eden Gardens,18-Nov-03,ODI # 2064
18,34,19,3,0,94.73,3,caught,1,,v India,Melbourne,09-Jan-04,ODI # 2077
21,-,31,2,1,67.74,3,caught,1,,v Zimbabwe,Sydney,11-Jan-04,ODI # 2079
37,59,46,2,1,80.43,3,caught,1,,v Zimbabwe,Hobart,16-Jan-04,ODI # 2082
7,25,13,1,0,53.84,3,caught,2,,v India,Brisbane,18-Jan-04,ODI # 2084
42,87,54,3,1,77.77,3,caught,2,,v India,Sydney,22-Jan-04,ODI # 2086
63,87,71,11,0,88.73,3,run out,1,,v Zimbabwe,Adelaide,26-Jan-04,ODI # 2089
35,89,58,2,1,60.34,3,caught,1,,v Zimbabwe,Melbourne,29-Jan-04,ODI # 2091
88,114,80,7,2,110,3,caught,2,,v India,Melbourne,06-Feb-04,ODI # 2097
4,11,9,0,0,44.44,3,caught,1,,v India,Sydney,08-Feb-04,ODI # 2098
58,84,82,4,0,70.73,3,caught,1,,v Sri Lanka,Dambulla,20-Feb-04,ODI # 2102
69,122,93,4,1,74.19,3,caught,2,,v Sri Lanka,Dambulla,22-Feb-04,ODI # 2103
63,116,75,4,0,84,3,bowled,2,,v Sri Lanka,Colombo (RPS),25-Feb-04,ODI # 2105
67,98,79,8,2,84.81,3,lbw,1,,v Sri Lanka,Colombo (RPS),27-Feb-04,ODI # 2106
91,144,93,8,3,97.84,3,caught,2,,v Zimbabwe,Harare,25-May-04,ODI # 2131
10,22,10,1,0,100,8,stumped,1,,v Zimbabwe,Harare,27-May-04,ODI # 2132
DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,29-May-04,ODI # 2133
26,45,28,1,1,92.85,3,lbw,1,,v India,Amstelveen,23-Aug-04,ODI # 2159
25,58,45,0,0,55.55,3,caught,1,,v Pakistan,Amstelveen,28-Aug-04,ODI # 2162
4,14,5,0,0,80,3,lbw,1,,v Pakistan,Lord's,04-Sep-04,ODI # 2166
8*,12,8,1,0,100,3,not out,2,,v U.S.A.,Southampton,13-Sep-04,ODI # 2172
14,45,29,2,0,48.27,3,bowled,2,,v New Zealand,The Oval,16-Sep-04,ODI # 2176
29,69,41,2,0,70.73,3,caught,1,,v England,Birmingham,21-Sep-04,ODI # 2180
29,53,49,4,0,59.18,3,lbw,1,,v New Zealand,Melbourne (Docklands),05-Dec-04,ODI # 2196
32,49,36,4,0,88.88,3,caught,1,,v New Zealand,Sydney,08-Dec-04,ODI # 2198
115,168,102,8,3,112.74,3,stumped,1,,v Asia XI,Melbourne,10-Jan-05,ODI # 2203
78,146,92,5,1,84.78,3,run out,1,,v West Indies,Melbourne,14-Jan-05,ODI # 2204
6,10,8,0,0,75,3,caught,2,,v Pakistan,Hobart,16-Jan-05,ODI # 2205
2,-,10,0,0,20,3,lbw,2,,v West Indies,Brisbane,21-Jan-05,ODI # 2208
17*,-,51,2,0,33.33,3,not out,2,,v Pakistan,Sydney,23-Jan-05,ODI # 2209
0,-,2,0,0,0,3,caught,1,,v West Indies,Adelaide,26-Jan-05,ODI # 2212
29,-,45,4,0,64.44,3,bowled,1,,v Pakistan,Perth,30-Jan-05,ODI # 2215
11,-,15,1,0,73.33,3,bowled,1,,v Pakistan,Melbourne,04-Feb-05,ODI # 2220
41,74,61,4,0,67.21,3,caught,1,,v Pakistan,Sydney,06-Feb-05,ODI # 2222
61,128,84,3,0,72.61,3,caught,1,,v New Zealand,Wellington,19-Feb-05,ODI # 2227
53,68,57,6,2,92.98,3,run out,1,,v New Zealand,Christchurch,22-Feb-05,ODI # 2228
11,18,18,2,0,61.11,3,run out,1,,v New Zealand,Auckland,26-Feb-05,ODI # 2230
141*,170,127,10,5,111.02,3,not out,1,,v New Zealand,Napier,05-Mar-05,ODI # 2234
1,21,16,0,0,6.25,3,lbw,1,,v Bangladesh,Cardiff,18-Jun-05,ODI # 2250
0,1,1,0,0,0,3,lbw,1,,v England,Bristol,19-Jun-05,ODI # 2251
27,51,40,4,0,67.5,3,caught,1,,v England,Chester-le-Street,23-Jun-05,ODI # 2253
DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Manchester,25-Jun-05,ODI # 2254
34,69,40,4,0,85,3,caught,1,,v England,Birmingham,28-Jun-05,ODI # 2256
66,127,95,5,0,69.47,3,caught,2,,v Bangladesh,Canterbury,30-Jun-05,ODI # 2257
7,26,18,0,1,38.88,3,caught,1,,v England,Lord's,02-Jul-05,ODI # 2258
14,49,30,2,0,46.66,3,caught,1,,v England,Leeds,07-Jul-05,ODI # 2259
111,157,115,14,1,96.52,3,caught,2,,v England,Lord's,10-Jul-05,ODI # 2260
43,59,44,7,0,97.72,3,stumped,2,,v England,The Oval,12-Jul-05,ODI # 2261
23,33,27,1,1,85.18,3,caught,1,,v ICC World XI,Melbourne (Docklands),05-Oct-05,ODI # 2282
66,105,72,4,0,91.66,3,run out,1,,v ICC World XI,Melbourne (Docklands),07-Oct-05,ODI # 2283
68,99,84,8,1,80.95,3,caught,1,,v ICC World XI,Melbourne (Docklands),09-Oct-05,ODI # 2284
63,97,64,5,3,98.43,3,lbw,1,,v New Zealand,Auckland,03-Dec-05,ODI # 2301
28,29,32,5,0,87.5,3,caught,1,,v New Zealand,Wellington,07-Dec-05,ODI # 2302
75,88,67,10,2,111.94,3,lbw,1,,v New Zealand,Christchurch,10-Dec-05,ODI # 2303
13,35,18,0,1,72.22,3,bowled,1,,v Sri Lanka,Melbourne (Docklands),13-Jan-06,ODI # 2313
33,61,47,6,0,70.21,3,caught,1,,v South Africa,Brisbane,15-Jan-06,ODI # 2314
9,30,19,1,0,47.36,3,caught,1,,v South Africa,Melbourne (Docklands),20-Jan-06,ODI # 2316
13,28,24,2,0,54.16,3,caught,2,,v Sri Lanka,Sydney,22-Jan-06,ODI # 2317
53,102,63,2,1,84.12,3,caught,1,,v South Africa,Melbourne (Docklands),03-Feb-06,ODI # 2322
72,-,61,8,0,118.03,3,caught,1,,v South Africa,Sydney,05-Feb-06,ODI # 2323
0,4,0,0,0,-,3,run out,2,,v Sri Lanka,Adelaide,10-Feb-06,ODI # 2326
124,178,127,9,3,97.63,3,caught,1,,v Sri Lanka,Sydney,12-Feb-06,ODI # 2328
28*,-,41,1,0,68.29,3,not out,2,,v Sri Lanka,Brisbane,14-Feb-06,ODI # 2330
62,123,82,5,0,75.6,3,caught,1,,v South Africa,Gqeberha,05-Mar-06,ODI # 2347
7,26,17,1,0,41.17,3,caught,2,,v South Africa,Durban,10-Mar-06,ODI # 2348
164,154,105,13,9,156.19,3,caught,1,,v South Africa,Johannesburg,12-Mar-06,ODI # 2349
14,26,31,2,0,45.16,5,lbw,2,,v Bangladesh,Chattogram,23-Apr-06,ODI # 2365
5,9,6,1,0,83.33,3,bowled,1,,v Bangladesh,Fatullah,26-Apr-06,ODI # 2366
54,74,53,9,0,101.88,3,lbw,1,,v West Indies,Kuala Lumpur,12-Sep-06,ODI # 2413
19,22,21,4,0,90.47,3,caught,1,,v India,Kuala Lumpur,16-Sep-06,ODI # 2416
4,13,9,0,0,44.44,3,caught,1,,v India,Kuala Lumpur,22-Sep-06,ODI # 2421
6,27,12,0,0,50,3,lbw,1,,v West Indies,Kuala Lumpur,24-Sep-06,ODI # 2422
1,8,5,0,0,20,3,bowled,2,,v West Indies,Brabourne,18-Oct-06,ODI # 2432
1,8,4,0,0,25,3,caught,2,,v England,Jaipur,21-Oct-06,ODI # 2434
58,109,69,8,0,84.05,3,caught,2,,v India,Mohali,29-Oct-06,ODI # 2440
